event_id,person_id,person_name
E0434,PE086,Minh Mạng
E0434,PE087,Thiệu Trị
E0434,PE088,Tự Đức
E0186,PE079,Phan Bá Vành
E0187,PE080,Nông Văn Vân
E0188,PE081,Lê Văn Khôi
E0189,PE078,Minh Mạng
E0190,PE082,Thiệu Trị
E0193,PE082,Thiệu Trị
E0194,PE083,Tự Đức
E0195,PE084,Cao Bá Quát
E0197,PE085,Thủ Khoa Huân
E0199,PE086,Trương Định
E0435,PE088,Tự Đức
E0203,PE083,Tự Đức
E0204,PE087,Hàm Nghi
E0205,PE087,Hàm Nghi
E0206,PE088,Đồng Khánh
E0208,PE087,Hàm Nghi
E0209,PE088,Đồng Khánh
E0210,PE089,Thành Thái
E0212,PE090,Phan Châu Trinh
E0439,PE090,Phan Châu Trinh
E0213,PE091,Khải Định
E0215,PE092,Bảo Đại
E0443,PE097,Hồ Chí Minh
E0219,PE092,Bảo Đại
E0444,PE095,Bảo Đại
E0444,PE096,Trần Trọng Kim
E0445,PE096,Trần Trọng Kim
E0445,PE095,Bảo Đại
E0447,PE096,Trần Trọng Kim
E0448,PE097,Hồ Chí Minh
E0449,PE097,Hồ Chí Minh
E0450,PE097,Hồ Chí Minh
E0451,PE097,Hồ Chí Minh
E0454,PE097,Hồ Chí Minh
E0452,PE097,Hồ Chí Minh
E0228,PE093,Ngô Đình Diệm
E0455,PE100,Ngô Đình Diệm
E0455,PE097,Hồ Chí Minh
E0232,PE094,John F. Kennedy
E0235,PE093,Ngô Đình Diệm
E0235,PE095,Ngô Đình Thục
E0236,PE093,Ngô Đình Diệm
E0237,PE097,Thích Quảng Đức
E0238,PE099,David Halberstam
E0238,PE093,Ngô Đình Diệm
E0238,PE098,Peter Arnett
E0238,PE096,Ngô Đình Nhu
E0239,PE093,Ngô Đình Diệm
E0239,PE096,Ngô Đình Nhu
E0241,PE100,Dương Văn Minh
E0242,PE100,Dương Văn Minh
E0242,PE101,Nguyễn Khánh
E0244,PE101,Nguyễn Khánh
E0249,PE102,Lyndon B. Johnson
E0250,PE100,Dương Văn Minh
E0250,PE101,Nguyễn Khánh
E0257,PE102,Lyndon B. Johnson
E0259,PE103,Philip Eldon Smith
E0264,PE104,Ferdinand Marcos
E0272,PE105,Thích Trí Quang
E0279,PE107,Robert J. Flynn
E0280,PE106,Nguyễn Văn Thiệu
E0283,PE108,John McCain
E0288,PE110,Nguyễn Ngọc Loan
E0288,PE109,Nguyễn Văn Lém
E0288,PE111,Eddie Adams
E0297,PE112,Trương Đình Dzu
E0297,PE086,Trương Định
E0300,PE102,Lyndon B. Johnson
E0303,PE106,Nguyễn Văn Thiệu
E0303,PE114,Richard Nixon
E0305,PE114,Richard Nixon
E0306,PE113,Hồ Chí Minh
E0308,PE114,Richard Nixon
E0318,PE075,Nguyễn Văn Huệ
E0319,PE114,Richard Nixon
E0321,PE116,Phan Thị Kim Phúc
E0321,PE115,Nick Ut
E0322,PE117,Jane Fonda
E0323,PE118,Henry Kissinger
E0326,PE114,Richard Nixon
E0327,PE114,Richard Nixon
E0334,PE106,Nguyễn Văn Thiệu
E0341,PE119,Tôn Đức Thắng
E0350,PE119,Tôn Đức Thắng
E0351,PE120,Nguyễn Hữu Thọ
E0352,PE121,Trường Chinh
E0354,PE121,Trường Chinh
E0356,PE122,Võ Chí Công
E0359,PE122,Võ Chí Công
E0361,PE123,Lê Đức Anh
E0364,PE123,Lê Đức Anh
E0366,PE124,Trần Đức Lương
E0368,PE125,Nguyễn Minh Triết
E0368,PE124,Trần Đức Lương
E0371,PE125,Nguyễn Minh Triết
E0371,PE126,Trương Tấn Sang
E0376,PE126,Trương Tấn Sang
E0376,PE127,Trần Đại Quang
E0379,PE128,Nguyễn Phú Trọng
E0382,PE129,Nguyễn Xuân Phúc
E0382,PE130,Võ Văn Thưởng
E0383,PE131,Trương Mỹ Lan
E0384,PE130,Võ Văn Thưởng
E0384,PE132,Tô Lâm
E0385,PE128,Nguyễn Phú Trọng
E0385,PE132,Tô Lâm
E0386,PE133,Lương Cường
E0386,PE132,Tô Lâm
E0472,PE132,Tô Lâm
E0473,PE132,Tô Lâm
